"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Device: Pixel 10 Pro XL. Median Startup: 198.538178ms, Median Frames: 44.0","0","Performance & Compose Metrics","","2026-05-05","passed","2026-05-05","","","",""
"","1934","checkAllModules[jvm]","","2026-05-05","passed","2026-05-05","","CheckModulesTest[jvm]","CheckModulesTest",""
"","4","generateBaselineProfiles","","2026-05-05","skipped","2026-05-05","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.BaselineProfileGenerator",""
"","831","loginEmailIsRestored","","2026-05-05","passed","2026-05-05","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.tests.LoginStateRestorationTest",""
"","57331","measureColdStartup","","2026-05-05","passed","2026-05-05","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ColdStartupBenchmark",""
"","74628","measureLoginToSignup","","2026-05-05","passed","2026-05-05","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ChangeTabsBenchmark",""
