"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","loginEmailIsRestored","","2026-03-17","passed","2026-03-17","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.tests.LoginStateRestorationTest",""
"","36182","measureColdStartup","","2026-03-17","passed","2026-03-17","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ColdStartupBenchmark",""
"","4","generateBaselineProfiles","","2026-03-17","skipped","2026-03-17","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.BaselineProfileGenerator",""
"","53294","measureLoginToSignup","","2026-03-17","passed","2026-03-17","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ChangeTabsBenchmark",""
"Device: Pixel 10 Pro XL. Median Startup: 182.675963ms, Median Frames: 38.0","0","Performance & Compose Metrics","","2026-03-17","passed","2026-03-17","","","",""
"","405","checkAllModules[jvm]","","2026-03-16","passed","2026-03-16","","CheckModulesTest[jvm]","CheckModulesTest",""
