"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","generateBaselineProfiles","","2026-05-04","skipped","2026-05-04","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.BaselineProfileGenerator",""
"","70870","measureLoginToSignup","","2026-05-04","passed","2026-05-04","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ChangeTabsBenchmark",""
"Device: Pixel 10 Pro XL. Median Startup: 179.956719ms, Median Frames: 38.0","0","Performance & Compose Metrics","","2026-05-04","passed","2026-05-04","","","",""
"","1091","checkAllModules[jvm]","","2026-05-04","passed","2026-05-04","","CheckModulesTest[jvm]","CheckModulesTest",""
"","874","loginEmailIsRestored","","2026-05-04","passed","2026-05-04","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.tests.LoginStateRestorationTest",""
"","50268","measureColdStartup","","2026-05-04","passed","2026-05-04","","com.patifiner.benchmark.BaselineProfileGenerator","com.patifiner.benchmark.performance.ColdStartupBenchmark",""
